1;Projeto X;DQA;Pedro;2024-12-23;25-26;Mamborê
2;Projeto A;Comunidades;Leo;2024-12-23;25-26;Goioerê
3;Projeto X;DQA;Carlos;2024-03-15;27-28;Curitiba
4;Projeto Y;Marketing;Ana;2024-07-19;29-30;São Paulo
5;Projeto Z;RH;Mariana;2024-09-05;24-25;Londrina
6;Projeto A;TI;Leo;2024-02-20;25-26;Foz do Iguaçu
7;Projeto Y;Comunidades;Pedro;2024-06-10;26-27;Curitiba
8;Projeto Z;Marketing;Ana;2024-04-13;28-29;Mamborê
9;Projeto X;DQA;Carlos;2024-10-01;27-28;Foz do Iguaçu
10;Projeto A;RH;Mariana;2024-11-15;29-30;São Paulo
